,Title,Number,Address,Email
0,"InterContinental Dublin, an IHG Hotel",(01) 665 4000,Simmonscourt Road Dublin Co. Dublin 4,reservations@icdublin.com
1,The Gresham Dublin Hotel,(01) 874 6881,23 Upper O'Connell St Display Dublin Co. Dublin D01 C3W7,terrytest@yext.com
2,Premier Inn Dublin Airport hotel,(01) 895 7777,Airside Retail Park Dublin Co. Dublin K67 E4A6,Dublinairport.PI@Premierinn.com
3,"Radisson Blu Hotel, Dublin Airport",(01) 844 6000,Dublin Airport Dublin Co. Dublin,
4,Hotel ibis Dublin,(01) 464 1480,"Red Cow Roundabout Monastery Road , Off Naas Road Dublin Co. Dublin D22 WY43",H0595@accor.com
5,"Crowne Plaza Dublin - Blanchardstown, an IHG Hotel",(01) 897 7777,Blanchardstown Town Centre Dublin Co. Dublin D15 T1FD,info@cpblanchardstown.ie
6,"Crowne Plaza Dublin Airport, an IHG Hotel",(01) 862 8888,Northwood Park Santry Demesne Dublin Co. Dublin D09 KN66,info@crowneplazadublin.ie
7,Premier Inn Dublin City Centre (Temple Bar) hotel,(01) 899 4230,51 Stephen Street Lower Dublin Co. Dublin D02 N7Y3,
8,"Holiday Inn Express Dublin Airport, an IHG Hotel",(01) 862 8866,"Northwood Park Santry Demesne, Santry Dublin Co. Dublin 9",exdn-reception@hiexpressdublin-airport.ie
9,"Radisson Blu Royal Hotel, Dublin",(01) 898 2900,Golden Lane Dublin Co. Dublin D08 VRR7,
10,"Holiday Inn Express Dublin City Centre, an IHG Hotel",(01) 878 8099,28-32 O'Connell Street Upper Dublin 1 Dublin Co. Dublin D01 T2X2,info@hiexdublincc.com
11,"Radisson Blu St. Helen's Hotel, Dublin",(01) 218 6000,Stillorgan Road Dublin Co. Dublin A94V6W3,
12,The Davenport Hotel,(01)6073500,8/10 Merrion Street Lower   D02 H525 Co. Dublin,hoteldavenportldublin@gmail.com
13,The MontClare Hotel,(01)6073800,1/4 Merrion Street Lower  Dublin 2  Co. Dublin,info@ocallaghanhotels.com
14,Clayton Hotel Dublin Liffey Valley,(01)6258000,Dublin Liffey Valley  22 Co. Dublin,info.liffeyvalley@claytonhotels.com
15,Sandymount Hotel,(01)6142000,At Aviva Stadium Lansdowne Rd Dublin  D04VN88 Co. Dublin,info@sandymounthotel.ie
16,Brooks Hotel,(01)6704455,"59-63 Drury st,Dublin 2 Co. Dublin   D2",reservations@brookshotel.ie
17,SS Supplies,(086)3625259,"37 Newcastle Boulevard, Newcastle Lyons  Dublin D22 A7N5 Co. Dublin",info@sssupplies.biz
18,The Castle Hotel,(01)874694,THE CASTLE HOTEL GARDINER ROW/GREAT DENMARK ST  DUBLIN D01 R640 Co. Dublin,castle.hotel002@hotmail.com
19,Wynn's Hotel,(01)8745131,35 Abbey st lr   1 Co. Dublin,
20,"Westbury Hotel The,",(01)6791122,Grafton Street  Dublin 2 Co. Dublin,
21,"Croke Park Hotel The,",(01)8714444,"Jones's Road,  Dublin 3 Co. Dublin",
22,The Dean,(01)6078110,33 Harcourt St  Dublin  Co. Dublin,reservations@thedean.ie
23,Clayton Hotel Dublin Liffey Valley,(01)6258000,Dublin Liffey Valley  22 Co. Dublin,info.liffeyvalley@claytonhotels.com
24,Cassidys Hotel,(01)8780555,Cavendish row Upr O'Connell st   1 Co. Dublin,stay@cassidyshotel.com
25,PREMIER SUITES PLUS Ballsbridge,(01)9018300,50-56 Merrion Road  Ballsbridge D04 V4K3 Co. Dublin,info@premiersuitesdublinballsbridge.com
26,Forty Four Main Street Hotel,(01)8401308,Main st Swords   Co. Dublin,fortyfourmainstreet@gmail.com
27,Camden Deluxe Hotel,(01)4780808,84/87 Camden st Lr   2 Co. Dublin,info@camdendeluxehotel.com
28,Dublin City Hotel,(01)6794455,46 Dame st   D02 X466 Co. Dublin,info@citybankhotel.ie
29,The Green Hotel,035316073600,1-5 Harcourt Street  Dublin 2 D02 WR80 Co. Dublin,info@ocallaghancollection.com
30,Aspect Hotel Park West,(01)6429100,"Nangor Road, Park West, Clondalkin  Dublin 12 D12 F2V4 Co. Dublin",res@aspecthotelparkwest.com
31,Clontarf Castle Hotel,(01)8332321,Castle Ave Clontarf  3 Co. Dublin,info@clontarfcastle.ie
32,The Castle Hotel,(01)874694,THE CASTLE HOTEL GARDINER ROW/GREAT DENMARK ST  DUBLIN D01 R640 Co. Dublin,castle.hotel002@hotmail.com
33,Brooks Hotel,(01)6704455,"59-63 Drury st,Dublin 2 Co. Dublin   D2",reservations@brookshotel.ie
34,Grand Canal Hotel,(01) 6461000,Grand Canal Street Upper Ballsbridge  D04 X5X7 Co. Dublin,reservations@grandcanalhotel.com
35,Hotel O’Callaghan Stephens Green,(01) 6073600,1-5 Harcourt Street    Co. Dublin,hotelstephensgreen@gmail.com
36,HotelsBooked.ie,(085)7294529,Manor Street  Dublin 7  Co. Dublin,garrethmaguire@gmail.com
37,Herbert Park Hotel,(01)6672200,"Ballsbridge, Dublin 4  Co. Dublin",reservations@herbertparkhotel.ie
38,SS Supplies,(086)3625259,"37 Newcastle Boulevard, Newcastle Lyons  Dublin D22 A7N5 Co. Dublin",info@sssupplies.biz
39,The Mayson,(01) 245 7900,81/81 North Wall Quay  Dublin D01 XR83 Co. Dublin,reservations@themayson.ie
40,Clarence The,(01)4070800,6-8 Wellington Quay   2 Co. Dublin,reservations@theclarence.ie
41,Ark Travel Group,(01)9010470,44 Leeson Place Dublin  D02 XR59 Co. Dublin,
42,Irish Mini Breaks,(01) 5563400,Malahide    Co. Dublin,bookings@irishminibreaks.ie
43,Sandymount Hotel,(01)6142000,At Aviva Stadium Lansdowne Rd Dublin  D04VN88 Co. Dublin,info@sandymounthotel.ie
44,Carlton Hotel Blanchardstown,(01)8275600,Church Road Tyrrelstown  Dublin D15EYX5 Co. Dublin,info.blanch@carlton.ie
45,The Westbury Hotel,(01)6791122,Grafton St Dublin  2 Co. Dublin,westbury@doylecollection.com
46,Wynn's Hotel,(01)8745131,35 Abbey st lr   1 Co. Dublin,
47,Beresford Hotel IFSC,(01) 8134700,21 Store Street  Dublin 1 D01 T9R2 Co. Dublin,info@beresfordhotelifsc.com
48,Fota Island Resort 5 Star,(021) 6019646,Fota Island Cork   Co. Cork,reservations@fotaisland.ie
49,Morgan Hotel The,(01)6437000,10 Fleet St Temple Bar   Co. Dublin,reservations@themorgan.com
50,Dublin Skylon Hotel,(01)8843900,Upper Drumcondra Road  Drumcondra D09V1Y2 Co. Dublin,reservations@dublinskylonhotel.com
51,The Kingsley 4 Star,(021) 6019874,Victoria Cross  Cork T12 P680 Co. Cork,reservations@thekingsley.ie
52,Landstone Accommodation,(01)5240442,No 4 Cavendish row  Dublin  D01KD73 Co. Dublin,rent@landstonestudentaccomadation.ie
53,IMI Residence,(01)2075900,Sandyford Road  Dundrum D16 X8C3 Co. Dublin,reservations@imires.ie
54,Temple Bar Inn,(01)4845010,"40-47 Fleet Street,   Dublin  Co. Dublin",reservations@templebarinn.com
55,Abberly Court Hotel,(01)4438890,"Belgard Rd,   Tallaght  Co. Dublin",
56,Rewards From Us To You,(01)6391177,12 Lower Hatch Street   Dublin D02 R682 Co. Dublin,info@rewardsfromustoyou.com
57,The Alex,(01)6073900,"41-47 Fenian St,   Dublin D02 H678 Co. Dublin",alexanderhoteldublin@gmail.com
58,The Grafton Hotel,(01)6481100,Stephens st Lr Dublin  2 Co. Dublin,marketing@The-Grafton-Hotel.com
59,Phoenix Park Hotel,(01)6772870,38/39 Parkgate st   8 Co. Dublin,info@phoenixparkhotel.ie
60,Premier Suites Plus Leeson Street,(01)6381111,14-17 Lower Leeson Street  Dublin DO2 PD32 Co. Dublin,info.dublinleeson@premiersuites.eu
61,Tara Towers,(01)2694666,Merrion rd   4 Co. Dublin,info@taratowers.com
62,Clayton Hotel Ballsbridge,(01) 6681111,Merrion Road  Ballsbridge  Co. Dublin,info.ballsbridge@claytonhotels.com
63,The Devlin,(01)4066550,117-119 Ranelagh Road  Dublin D06 WY50 Co. Dublin,info@thedevlin.ie
64,Ballsbridge Tower,(01) 4373444,Pembroke Road  Ballsbridge D04 D687 Co. Dublin,
65,Roganstown Golf & Country Club,(01)8432360,Roganstown  Swords K67 P2E4 Co. Dublin,info@roganstown.com
66,The Spencer Hotel,(01)4338800,Excise Walk IFSC Dublin D01 X4C9 Co. Dublin,reservations@thespencerhotel.com
67,Leeson Inn Downtown,(01)6622002,24 Lr Leeson st Dublin  D02 FX08 Co. Dublin,
68,O'Callaghan Hotels Group,(01)6073900,16-20 Sth Cumberland Street  Dublin 2 Co. Dublin,info@ocallaghanhotels.com
69,Clayton Hotel Dublin Airport,(01)2935000,Central Park Leopardstown Dublin 18 D18 K2P1 Co. Dublin,info@claytonhotels.com
70,Clayton Hotel Dublin Airport,(01)8711000,"Clayton Hotel Clonshaugh Road Clonshaugh, Cloghran Swords K67 X3H5 Co. Dublin",info@claytonhotels.com
71,Clayton Hotel Dublin Airport,(01)6681111,Merrion rd Ballsbridge Dublin 4 D04 P3C3 Co. Dublin,info@claytonhotels.com
72,Fitzsimons Hotel,(01)6779315,22 Wellington qy   2 Co. Dublin,info@fitzsimonshotel.com
73,FBD Hotels,(01)6406300,Castleknock Hotel  Castleknock Dublin 15 D15 WNR7 Co. Dublin,reservations@chcc.ie
74,Premier Suites Dublin Sandyford,(01)2920200,"The Forum, Sandyford Business Pk Ballymoss Rd Sandyford D18 Y9R9 Co. Dublin",info.dublinsandyford@premiersuites.eu
75,In 1 Solutions,(01)8706350,61 Rathbeale Road Swords Co. Dublin K67 P8W6 Co. Dublin,sales@in1solutions.com
76,Jackson Court Hotel,(01)4758777,29 Harcourt st   2 Co. Dublin,Info@jackson-court.ie
77,Royal Marine Hotel,(01)2300030,Marine rd Dun Laoghaire  A96 C8X6 Co. Dublin,
78,Alexander Hotel The,(01)6073700,Merrion sq Dublin  D02H678 Co. Dublin,info@ocallaghanhotels.com
79,Haddington House Hotel & Bar,(01)2801810,9-12 Haddington Terrance Dun Laoghaire  A96 F2R9 Co. Dublin,enquiries@haddingtonhouse.ie
