,Title,Number,Address,Email
0,Oscars Café Bar,(01) 699 1999,6 Smithfield Square   D07 WR63 Co. Dublin,smithfield@oscarscafebar.com
1,Mizzoni's Pizza,(01)4967764,200 Harolds Cross Road  Dublin 6W D6W CC78 Co. Dublin,info@mizzoni.ie
2,Indian Curry Club,(01)8712903,27/28 Kilbarrack Shopping Centre   Dublin D05 A371 Co. Dublin,mahmedc@gmail.com
3,Clement & Pekoe,(01) 8800000,50 South William Street  Dublin 2 D02 DE93 Co. Dublin,info@clementandpekoe.com
4,Doyles Corner,(01) 6991999,160 / 161 Phibsborough Road Phibsborough Dublin D07 R26N Co. Dublin,events@doylescorner.ie
5,Rudys Restaurant,(01) 968 5040,17  Main Street Blanchardstown Co. Dublin D15 YDC3,rudysrestaurant2015@gmail.com
6,Social Fabric Cafe,087 915 8864,34 Stoneybatter Arbor Hill Dublin Co. Dublin D07 HP99,info@social-fabric.ie
7,Maximilians Bistro,(01) 826 2669,Main Street Super value Shopping Centre Blanchardstown Co. Dublin,maximiliansbistro@gmail.com
8,The Laurels Perrystown,(01) 450 4281,186 Whitehall Road West Perrystown Co. Dublin D12 V2VY,Info@laurelsperrystown.ie
9,Tasty 8 Restaurant,(01)6917609,67-68 Meath Street   Dublin D08 X959 Co. Dublin,tasty8dublin@gmail.com
10,Salamanca,(01)6774799,1 St Andrews st  Dublin 2 Co. Dublin,salamancatapas@gmail.com
11,Attico,(01) 230 0951,2A Monkstown Crescent Blackrock  A94 HK58 Co. Dublin,info@attico.ie
12,The Brock Inn,(01)8342216,"North Rd, Broghan   D11KP6R Co. Dublin",bookings@thebrockinn.ie
13,The Curragh Cafe by Lucy,(085) 167 0826,TRI Equestrian Superstore & Café The Curragh   Co. Kildare,info@thecurraghcafebylucy.ie
14,Slice Stoneybatter,(01)4456100,56 Manor Street Place Stoneybatter Dublin D07 YN12 Co. Dublin,slicedublin7@gmail.com
15,Fellini's Pizza And Pasta,(01)2893662,35 Deansgrange Rd  Blackrock   Co. Dublin,fellinispizzapasta@hotmail.com
16,Maxol Service Station Ringsend,(01) 668 8754,Ringsend  Road Ringsend Dublin Co. Dublin D04C9F6,
17,Maxol Service Station Ringsend,(01) 668 8754,Ringsend  Road Ringsend Dublin Co. Dublin D04C9F6,
18,Maxol Service Station Beach Road - Closed.,(01) 660 7462,Beach Road Sandymount Dublin Co. Dublin D04A9P3,
19,Maxol Service Station Ballymount Road,(01) 419 7901,Ballymount Road Ballymount Dublin Co. Dublin D12C1X4,
20,Maxol Service Station Lucan Road,(01) 621 8062,Lucan Road Lucan Dublin Co. Dublin K78T3F6,
21,Maxol Service Station M3 Mulhuddart,(01) 811 5214,Old Navan Road Mulhuddart Dublin Co. Dublin D15F5KE,
22,Maxol Service Station Greenhills Road,(01) 452 4638,1-3 Greenhills Road Greenhills Road Dublin Co. Dublin D12E8KX,
23,Maxol Service Station Longmile Road,(01) 450 3596,Longmile Road/Naas Road Junction JCT Naas Rd/Longmile Road Dublin Co. Dublin D12TDW3,
24,Maxol Service Station Walkinstown Avenue,(01) 419 7999,Walkinstown Avenue Walkinstown Dublin Co. Dublin D12R96T,
25,Hotel ibis Dublin,(01) 464 1480,"Red Cow Roundabout Monastery Road , Off Naas Road Dublin Co. Dublin D22 WY43",H0595@accor.com
26,The Gresham Dublin Hotel,(01) 874 6881,23 Upper O'Connell St Display Dublin Co. Dublin D01 C3W7,terrytest@yext.com
27,Maxol Service Station Donabate,(01) 895 8267,Hearse Road Dublin Co. Dublin K36AW99,
28,Premier Inn Dublin Airport hotel,(01) 895 7777,Airside Retail Park Dublin Co. Dublin K67 E4A6,Dublinairport.PI@Premierinn.com
29,Premier Inn Dublin City Centre (Temple Bar) hotel,(01) 899 4230,51 Stephen Street Lower Dublin Co. Dublin D02 N7Y3,
30,Maxol Service Station Ballycoolin,(01) 485 1235,N2/N3 Link Road Goddamendy Dublin Co. Dublin D15VK8F,
31,Maxol Service Station Mespil Road,(01) 667 0450,Mespil Road Dublin Co. Dublin D04F2V1,
32,Hard Rock Cafe,(01) 671 7777,"12 Fleet Street, Temple Bar Dublin Co. Dublin D02 NW56",
33,Maxol Service Station Sandyford Road,(01) 293 7992,Sandyford Road Dundrum Dublin Co. Dublin D16KX23,
34,Maxol Service Station Dolphins Barn,(01) 454 7674,16 Crumlin Road Dolphins Barn Dublin Co. Dublin D12K44W,
35,Maxol Service Station Ringsend,(01) 668 8754,Ringsend  Road Ringsend Dublin Co. Dublin D04C9F6,
36,Maxol Service Station Adamstown,(01) 505 6484,Adamstown Newcastle Road R120 Dublin Co. Dublin K78 X4E1,
37,Carluccio's,(01) 223 9147,52 Dawson Street Dublin Co. Dublin D02 Y594,
38,Osteria Lucio,(01) 6624198,The Malting Tower Grand Canal Quay Clanwilliam Terrace  D02 DW90 Co. Dublin,info@osterialucio.com
39,Fairview grill,(01)8550795,25 Annesley Bridge Rd Fairview Dublin D03 VX67 Co. Dublin,louix1987@hotmail.com
40,Sanai Indian Restaurant,(01)6764578,17A Lower Baggot Street  Dublin 2  Co. Dublin,reaz@campus.ie
41,One Bistro,(01)4411181,30 Richmond Street   Dublin D02 RP77 Co. Dublin,onebistrodublin@gmail.com
42,Captain Americas Blanchardstown,(01)8262340,Unit 410 Blanchardstown Centre Blanchardstown Dublin 15 D15 YF4E Co. Dublin,
43,Milano - Blanchardstown,(01)8157001,Unit 307B Blanchardstown Centre Blanchardstown Dublin 15 D15 KC04 Co. Dublin,
44,Wagamama Blanchardstown,(01)8219449,Unit 410 Blanchardstown Centre Blanchardstown Dublin 15 D15 YF4E Co. Dublin,
45,Ginzeng,(01)8208010,Unit 253 Blanchardstown Centre Blanchardstown Dublin 15 D15 X292 Co. Dublin,
46,East Side Tavern,(01)6771224,104 Lower Leeson Street  Dublin 2  Co. Dublin,bookings@eastsidetavern.ie
47,Village Bistro The,(087)6379241,17 Terenure pl Terenure  D6W X398 Co. Dublin,
48,Dera Restaurant,(01)5388800,"138 Parnell Street, Rotunda, Dublin  Dublin  Co. Dublin",
49,Que Hong Restaurant,(01)4759616,8 Golden Lane  Dublin 8 D08 E2X5 Co. Dublin,
50,NoLIta,(01)4781590,64 South Great George's Street  Dublin  Co. Dublin,bookings@nolita.ie
51,Opium,(01)5267711,26 Wexford St  Dublin  Co. Dublin,bookings@opium.ie
52,Thai Orchid,(01)6719969,7 Westmoreland st   2 Co. Dublin,thaiorchiddublin@gmail.com
53,Infusion Restaurant,(01)4100190,Jury's Inn Christchurch Place  Dublin 8 Co. Dublin,jurysinnchristchurch@jurysinn.com
54,Yamamori Noodles,(01)8720003,38/39 Lower Ormond Quay  Dublin 1 D01 R224 Co. Dublin,info@yamamorisushi.ie
55,Yamamori Sushi,(01)4755001,71/72 Georges Street  Dublin 2 D02 EC94 Co. Dublin,info@yamamorisushi.ie
56,Captain Americas Cookhouse & Bar,(01)6715266,44 Grafton Street  Dublin 2 D02 CA21 Co. Dublin,dublin@captainamericas.com
57,Marco Pierre White Steakhouse and Grill,(01)6771155,51 Dawson Street  Dublin 2 D02 AN25 Co. Dublin,dawson@marcopierrewhite.ie
58,Pitt Bro's,(01)6778777,"Unit 1, Wicklow House, Georges Street,  Dublin  Co. Dublin",
59,Caffe' Italiano,(01)5511206,7 Crow Street  Dublin 2   Co. Dublin,
60,Wrights Anglers Rest,(01)8204351,Strawberry Beds Knockmaroon Chapelizod  20 Co. Dublin,info@theanglersrest.ie
61,Pita Pit,(01)6931996,Unit 452 Blanchardstown Centre    Co. Dublin,info@pitapit.ie
62,Cafe En Seine,(01)6774567,40 Dawson Street  Dublin 2 Co. Dublin,bookings@cafeenseine.ie
63,Al-Boschetto Restaurant,(01)6673784,"2 Merrion Road,    Co. Dublin",boschetto.gomap@yahoo.com
64,Angelina's,(01)6602262,55 Percy Place  Dublin 4  Co. Dublin,book@angelinas.ie
65,Dera Indian Pakistani Restaurant,035315388800,138 Parnell Street  Dublin D01 W9E5 Co. Dublin,dera.gomap@yahoo.com
66,Hung Wun Cabra,(01)8686066,22 Fassaugh Avenue  Cabra D7 Co. Dublin,info@hungwun.com
67,Green Fox,(01)5 479 711,220 Harold's Cross road  Dublin D6W DF85 Co. Dublin,GreenFoxcafe@gmail.com
68,Annadale Cottage,(01)6280688,Leixlip Road  Lucan  Co. Dublin,
69,Chens Chinese Restaurant and Takeaway,(01)4927377,38 Main Street Rathfarnham  Dublin 14 Co. Dublin,
70,Bel Cibo,(01)8749733,Unit 11Block A Smithfield Market Smithfield  7 Co. Dublin,pizza@belcibo.ie
71,I Monelli Authentic Italian Restaurant,(01)4546057,1-2 Portobello Road  Dublin 8 Co. Dublin,info@imonellirestaurant.eu
72,The Box Tree by Eamonn O’Reilly,(01)2052025,Stepaside Village  Dublin 18  D18N231 Co. Dublin,info@theboxtree.ie
73,Italian Corner,(01)6719114,23/24  Wellington Quay  2 Co. Dublin,info@italiancorner.ie
74,Sagarmatha Kitchen,(01)8084918,"No 4, Main Street, Swords   Co. Dublin",sagarmathakitchen@yahoo.com
75,El Paso,(01)8323334,10 Harbour rd Howth   Co. Dublin,info@elpaso.ie
76,Alladin's Cafe Restaurant,(01)6689793,129 Leeson St Upr   4 Co. Dublin,alladinscaferestaurant@gmail.com
77,Cafe Topolis,(01)6704961,37 Parliament Street Dublin 2   Co. Dublin,cafetopolis@yahoo.ie
78,Millers Pizza Kitchens,(01)6606022,50 Upr Baggot st   4 Co. Dublin,gvale@indigo.ie
79,Gallagher & Co Bistro,(01)6770499,16A Dolier st   2 Co. Dublin,info@gallahersbistro.com
80,Kitchen island's and breakfast bars,(083)4185465,88 greencastle road  coolock D17h970 Co. Dublin,Mickthevan@gmail.com
81,Surma Indian Restaurant,(01)4755011,43 Lower Camden Street Dublin 2   Co. Dublin,
82,Brook's Cafe and Wine Bar,(01)8329804,52 St.Brigids Rd Artane  5 Co. Dublin,brooksartane@gmail.com
83,Taste of Brazil,(01)6759973,32 Parliment Street Dublin 2   Co. Dublin,info@tasteofbrazil.ie
84,Moloughney Restaurant,(01)8330002,9 Vernon Ave Clontarf  3 Co. Dublin,michelle@moloughneys.ie
85,Sunshine Cafe Limited The,(01)2301828,107 Lower Georges St Dun Laoghaire   Co. Dublin,
86,Guinea Pig The Fish Restaurant,(01)2859055,17 Railway rd Dalkey   Co. Dublin,
87,Coolquoy Lodge,(01)8351466,Coolquay The Ward    Co. Dublin,
88,Steps of Rome,(01)6705630,Unit 1 Chatham Street Dublin 2   Co. Dublin,
89,High Nelly's,(01)6675522,4-6 Haddington rd  4 Dublin 4 Co. Dublin,
90,Orchid Szechuan Restaurant,(01)6600629,120 Pembroke rd Ballsbridge  4 Co. Dublin,info@theorchidszechuan.com
91,Locks Brasserie,(01)4200555,1 Windsor Terrace Portobello  Dublin 8 Co. Dublin,info@locksbrasserie.com
92,Soulful Bistro,(01)8688400,46 Manor Street Stoneybatter  Dublin 7 Co. Dublin,info@soulful.ie
93,Shangri - La Malaysian Chinese Restaurant,(01)6725002,16  Stoneybatter  7 Co. Dublin,
94,Le Plancha,(01)2103950,22 Newtown Park    Co. Dublin,info@leplancha.ie
95,Ristretto,(01)2838450,Unit 2 Merrion Shop Centre   Dublin 4 Co. Dublin,info@ristretto.ie
96,Curry & Kebab,(01)4200600,71 THOMAS STREET  DUBLIN D08 Y927 Co. Dublin,Newcurrykebab@gmail.com
97,Jimmy’s take away,(01)8495244,Skerries point Shopping centre  Skerries K34 DH48 Co. Dublin,Adak@live.ie
98,What the Falafel,(01)6729944,37 Stephen Street Lower  Dublin 2 D02 T862 Co. Dublin,whatthefalafelie@gmail.com
99,L'Ecrivain Restaurant,(01)6611919,109A Lower Baggot Street  Dublin 2 D02 V580 Co. Dublin,lecrivain.gomap@yahoo.com
100,ThunderRoad Cafe,(01)6794057,"52-57 Fleet Street, Temple Bar  Dublin 2 D02 A375 Co. Dublin",thunder.gomap@yahoo.com
101,Mykonos Taverna,(01)5613745,76 Dame Street  Dublin D02 YY54 Co. Dublin,
102,The Temple Grill,(01) 5448888,182 Templeogue Road   D6W VR04 Co. Dublin,eat@thetemplegrill.com
103,Que Huong,(01) 475 9616,Golden Lane  Dublin  Co. Dublin,
104,Viva,(01)4244043,27 Richmond Street South  Dublin   Co. Dublin,info@vivaespanatapas.com
105,Orchid Chinese Restaurant,(01) 8452508,12 New Street Malahide Co. Dublin K36 PR80 Co. Dublin,info@orchidrestaurant.ie
106,Tasty 8,(087)6531404,67 - 68 Meath Street   D08 X959 Co. Dublin,tasty8dublin@gmail.com
107,"McHugh's Wine & Dine Restaurant, Portmarnock",(01)9060742,2 Kingsford Cross Strand Road Portmarnock  Co. Dublin,
108,The College of Dance,(086) 8039 739,St. Catherine’s Sports Centre Marrowbone Lane  D08 W5WC Co. Dublin,admin@collegeofdance.com
109,Abrakebabra,(01)6237867,"Food Court 4, Liffey Valley Shopping Centre  Dublin 22 D22 KA62 Co. Dublin",
110,Abrakebabra,(01)4520006,"Unit 321, Level 3 The Square Shopping Centre, Tallaght  Dublin 24 D24 TV02 Co. Dublin",
111,Abrakebabra,(01)2600921,"Unit 3, The Mall, Donnybrook Road  Dublin 4 D04 TV07 Co. Dublin",
112,Abrakebabra,(01)4982300,"11 Rathgar Road, Rathmines  Dublin 6 D06 H9P1 Co. Dublin",
113,Abrakebabra,(01)6040077,66 Dame Street  Dublin 2 D02 Y974 Co. Dublin,
114,Abrakebabra,(01)8575266,"4 Drumcondra Road Upper, Drumcondra  Dublin 9 D09 FV10 Co. Dublin",
115,Yo! Sushi,(01)5883980,"Dundrum Town Centre, Sandyford Road  Dublin 16 D16 W0C0 Co. Dublin",yo.dundrum@yosushi.com
116,Yo! Sushi,(01)6728950,48/49 Clarendon St. Dublin 2 Co. Dublin   D2,
117,Easydish,(01)6144563,D4 Riverview business park Nangor road Dublin  Co. Dublin,info@food4u.ie
118,OM Coffee Shop,(01)2345678,"1 Camden Street , Portobello  Dublin 6  Co. Dublin",omcoffeeshop@gmail.com
119,Locos Fresh Mexican Grill,(01)2100900,7 The Hill    Co. Dublin,orders@locos.ie
120,BBQ Tonight,(01)5556970,"35 Lower Clanbrassil Street,Dublin    Co. Dublin",hello@bbqtonight.ie
121,Mexico To Rome,(01)6772727,23 East Essex st Temple Bar  2 Co. Dublin,info@mexicotorome.com
122,RestDos,,Kimmage  Dublin 12  Co. Dublin,hello@restdos.com
123,Ananda Restaurant,(01)2960099,"Cinema Building, Sandyford Road, Dundrum Town Centre, Dundrum  Dublin 10 D16 VK54 Co. Dublin",bookings@anandaresturant.ie
124,Murphy's Bistro Cafe,(01)8656772,22 Bachelors Walk  Dublin 1 D01 V838 Co. Dublin,info@murphysbistro.ie
125,Mizzoni's Pizza,(051)642525,16 New Street Carrick on Suir Co Tippereary Co. Tipperary,info@mizzoni.ie
126,Mizzoni's Pizza,(01)8612097,Head Office Dublin    Co. Dublin,info@mizzoni.ie
127,Mizzoni's Pizza,(01)8603630,121 Upr Dorset Street 1 Co. Dublin   D1,info@mizzoni.ie
128,Mizzoni's Pizza,(051)841666,54 High Street Waterford Co. Waterford,info@mizzoni.ie
129,Mizzoni's Pizza,(01)8249545,U9 Coolmine Ind Est Blanchardstown 15 Co. Dublin   D15,info@mizzoni.ie
130,Hot Bubble Café,(01)8734871,55 Chapel Street  Dublin 1 D01 N9Y5 Co. Dublin,hotbubble.map@yahoo.com
131,Hot Bubble Café,(01)8734871,55 Chapel Street  Dublin D01 N9Y5 Co. Dublin   D01 N9Y5,hotbubble.map@yahoo.com
132,Fat Lorenzo's,(044)02076370871,5-6 Clipstone Street London W1W 6BB    Co. Dublin,info@fatlorenzos.co.uk
133,As One,(01)4304371,"Unit 3,13-18 City Quay  Dublin 2  Co. Dublin",info@asone.ie
134,Hamilton's,(087)6027059,12 South Circular Road Portobello  D08 XTN5 Co. Dublin,aylena@me.com
135,Sams Kitchen,(01) 405 6312,"Unit 8, Craig Terrace, Clondalkin Industrial Estate  Dublin 22 D22 XC53 Co. Dublin",Moizayubi@gmail.com
136,Sams Kitchen,(01)4056312,"Unit 8,Craig Terrace,Clondalkin Industrial Estate Clondalkin/Lucan Dublin 22 Co. Dublin   D22",Moizayubi@gmail.com
137,MAO Restaurants Ltd,(01)2962802,"Unit 1 No 10 Civic Square, Mill Theatre Dundrum Town Centre, Sandyford Road Dublin 16 D16 R2T1 Co. Dublin",
138,MAO Restaurants Ltd,(01)6704899,2 Chatham Row  Dublin 2 D02 W293 Co. Dublin,
139,Drury Buildings,(01)9602095,52-55 Drury Street  Dublin D02 VY15 Co. Dublin,reservations@drurybuildings.com
140,Pasha Restaurant,(01)8980888,65 upper dorset street  Dublin D01CY95 Co. Dublin,pasharestaurant2015@gmail.com
141,Wildeside Cafe,(01)2750128,1 St. Gabriel's Court Cabinteely  D18XK72 Co. Dublin,wildesidecafe@gmail.com
142,Camile Thai,(01) 4166111,"8 Dolphins Barn,  Dublin  8 Co. Dublin",info@camile.ie
143,The Dog House Howth,(01)8395188,The Doghouse Blues and Tea Rooms Howth Dart Station  Howth  D13EY10 Co. Dublin,thedoghousehowth@gmail.com
144,Tir Na Nog Caife,(01)6753979,City Hall Basement Parliament St   D02NP93 Co. Dublin,
145,Bibi's Cafe,(01)4547421,14B Emorville ave South Circular rd  D08FFK5 Co. Dublin,eat@bibis.ie
146,Enigma Grill Restaurant,(01)4920260,Main Street Rathfarnham Village  D14pk92 Co. Dublin,enigmagrill@gmail.com
147,The Village Coffee House,(01)49227879,"1 Old River House , 6W Templeogue,  Dublin D6WDY76 Co. Dublin",
148,Cafe Togo,(01)6727333,Hueston Station Dn  D08E2CV Co. Dublin,
149,Jack Rabbit,(089)4266586,Churchtown Stores Bar 5 Braemor Road  Dublin 14 D14Y0C0 Co. Dublin,
150,Hang Dai,(01)5458888,20 Lower Camden Street  Dublin 2 D02 T275 Co. Dublin,eat@HangDaiChinese.com
151,Thai Garden,(01)8157882,Church ave Off Main st Blanchardstown D D15 E9CX Co. Dublin,info@thaigarden.ie
152,GBK,(01)6238285,"Unit 40b, Liffey Valley Shopping Centre, Fonthill Road  Dublin 22 D22 PX53 Co. Dublin",
153,GBK,(01)6708343,"Unit 2, Temple Bar Square  Dublin 2 D02 KA02 Co. Dublin",
154,Castello Bruno,(01)8228400,Main st Castleknock Castleknock rd  15 Co. Dublin,castellobrunod15@gmail.com
155,Brownes Steakhouse,(01)8221551,Saint Philomenas Main st Blanchardstown Clonsilla  Co. Dublin,
156,Urban Health,(01)-4975977,"9 Fields Terrace,  Charleston Road  Ranelagh  Dublin 6 D06 V218 Co. Dublin",info@urbanhealth.ie
